Как транспонируется произведение двух матриц?	Утверждение. \((A \cdot B)^T = B^T \cdot A^T\). Доказательство. A – матрица типа \(m \to n\), B – матрица типа \(n \to k\). \([(A \cdot B)^T]_{ij} = [A \cdot B]_{ji} = \sum_{r=1}^{n} [A]_{jr} \cdot [B]_{ri} = \sum_{r=1}^{n} [A^T]_{rj} \cdot [B^T]_{ir} = [B^T \cdot A^T]_{ij}\), \(\forall i = 1, m\), \(\forall j = 1, k\).
Взаимосвязь и доказательство равносильности двух условий для косокоммутативной (кососимметрической) линейной функции: обнуляться на паре совпадающих элементов.	Утверждение. Для любой линейной функции косокоммутативность (1) эквивалентна обнулению на паре совпадающих элементов (2). Доказательство. Рассмотрим f – линейную функцию (от столбцов). <br> (2) \(\Rightarrow\) (1): Дано: \(f(u, u) = 0\) – обнуление на паре совпадающих элементов. Доказать: \(f(u, v) = -f(v, u)\) – косокоммутативность. \(f(u+v, u+v) = 0 = f(u,u) + f(u,v) + f(v,u) + f(v,v) \Rightarrow f(u,v) = -f(v,u)\). <br> (1) \(\Rightarrow\) (2): Дано: \(f(u, v) = -f(v, u)\) – косокоммутативность. Доказать: \(f(u, u) = 0\). \(f(u, v) = -f(v, u)\) подставим \(u = v\): \(f(a, a) = -f(a, a) \Rightarrow f(a, a) = 0\).
Какие три условия достаточно наложить на функцию от столбцов матрицы, чтобы она обязательно была детерминантом?	Утверждение. На функцию от столбцов матрицы достаточно наложить следующие три условия, чтобы она обязательно была детерминантом: 1) функция должна быть полилинейна (линейна по столбцам); 2) косокоммутативна (\(\det A = -\det A\), т.е. равна 0, если есть 2 одинаковых столбца); 3) равна 1 на \(E_n\). Доказательство для \(n=2\): Разложим столбцы: \(\begin{pmatrix} a_{11} \\ a_{21} \end{pmatrix} = a_{11}\begin{pmatrix}1\\0\end{pmatrix} + a_{21}\begin{pmatrix}0\\1\end{pmatrix}\); \(\begin{pmatrix}a_{12}\\a_{22}\end{pmatrix} = a_{12}\begin{pmatrix}1\\0\end{pmatrix} + a_{22}\begin{pmatrix}0\\1\end{pmatrix}\). Тогда \(f\begin{pmatrix}a_{11} & a_{12}\\a_{21} & a_{22}\end{pmatrix} = a_{11}a_{22}f(E) + a_{21}a_{12}f\begin{pmatrix}0&1\\1&0\end{pmatrix} = (a_{11}a_{22} - a_{12}a_{21}) \cdot f(E_n) = a_{11}a_{22} - a_{12}a_{21} = \det A\).
Теорема о произведении определителей двух квадратных матриц произвольного порядка.	Утверждение. \(\forall A, B \in M_n(\mathbb{R})\): \(\det(A \cdot B) = \det A \cdot \det B\). Доказательство. Рассмотрим функцию \(f(B) = \det(A \cdot B)\). Покажем \(f(B) = \det B \cdot f(E_n)\). 1) Косокоммутативность выполнена, т.к. при совпадении двух столбцов матрицы B столбцы матрицы \(A \cdot B\) тоже будут совпадать. 2) Если столбец матрицы B имеет вид \(\omega a + \mu b\), то в матрице \(A \cdot B\) этот столбец имеет вид \(\omega Aa + \mu Ab\), и определитель тоже линеен \(\Rightarrow f(B)\) линейна. 3) Выполнены косокоммутативность и линейность, следовательно \(f(B) = \det B \cdot f(E_n)\), но \(f(E_n) = \det(A \cdot E_n) = \det A \Rightarrow \det(A \cdot B) = f(B) = \det B \cdot \det A\).
Вывести формулу Крамера для квадратной матрицы произвольного порядка и доказать её.	Утверждение. Пусть \(Ax = b\) совместная СЛАУ, тогда: \(x_i \cdot \det A = \Delta_i\), \(\Delta_i = \det(A_1, ..., A_{i-1}, b, A_{i+1}, ..., A_n)\). Если \(\det A \neq 0\), то \(x_i = \frac{\Delta_i}{\det A}\), \(i = 1, n\). Доказательство. Пусть \(A_i\) – столбец матрицы. Запишем СЛАУ в векторном виде: \(x_1A_1 + x_2A_2 + \cdots + x_nA_n = b \Leftrightarrow Ax = b\). \(\Delta_i = \det(A_1, ..., A_{i-1}, \sum_{j=1}^{n} x_jA_j, A_{i+1}, ..., A_n) = \sum_{j=1}^{n} x_j \det(A_1,...,A_{i-1},A_j,A_{i+1},...,A_n)\). При \(j \neq i\) слагаемые \(x_j \cdot \det(\cdots) = 0\) (два одинаковых столбца). Тогда \(\Delta_i = x_i \det(A_1,...,A_i,...,A_n) = x_i \det A\).
Сформулировать и доказать критерий существования обратной матрицы.	Утверждение. \(\exists A^{-1} \Leftrightarrow \det A \neq 0\). Доказательство. <br> Необходимость. Дано: \(\exists A^{-1}\). Доказать: \(\det A \neq 0\). По определению обратной матрицы: \(A \cdot A^{-1} = E \Rightarrow \det(A \cdot A^{-1}) = \det E = 1 \Rightarrow \det A \neq 0\). <br> Достаточность. Дано: \(\det A \neq 0\). Доказать: \(\exists A^{-1}\). Предъявим матрицу \(B = \frac{1}{\det A} \cdot A^*\), где \(A^* = \begin{pmatrix}A_{11} & \cdots & A_{1n} \\ \vdots & & \vdots \\ A_{n1} & \cdots & A_{nn}\end{pmatrix}^T\) – союзная матрица. Покажем, что B является обратной: \([A \cdot B]_{ij} = \frac{1}{\det A}\sum_{r=1}^{n} a_{ir} \cdot A_{jr} = \begin{cases}1, & i=j \\ 0, & i\neq j\end{cases} = [E]_{ij}\). Аналогично проверяется \(B \cdot A = E \Rightarrow\) по определению B – обратная.
Сформулировать и доказать критерий линейной зависимости.	Утверждение. \(a_1,...,a_s\) – линейно зависимы \(\Leftrightarrow\) хотя бы один из \(a_1,...,a_s\) линейно выражается через другие. Доказательство. <br> Необходимость. Дано: \(a_1,...,a_s\) – л.з. Доказать: найдётся выражаемый через другие. По определению: \(\exists \varepsilon_1,...,\varepsilon_s\) (не все 0): \(\varepsilon_1 a_1 + \cdots + \varepsilon_s a_s = 0\). Пусть \(\varepsilon_1 \neq 0\). Тогда \(a_1 = -\frac{\varepsilon_2}{\varepsilon_1}a_2 + \cdots + \left(-\frac{\varepsilon_s}{\varepsilon_1}\right)a_s\). <br> Достаточность. Дано: один линейно выражается через другие. Доказать: они линейно зависимы. Пусть \(a_1 = \vartheta_2 a_2 + \cdots + \vartheta_s a_s\). Тогда \(1 \cdot a_1 - \vartheta_2 a_2 - \cdots - \vartheta_s a_s = 0\) – нетривиальная линейная комбинация \(\Rightarrow\) по определению они л.з.
Как связан ранг транспонированной матрицы с рангом исходной матрицы?	Утверждение. \(\text{Rg}\, A^T = \text{Rg}\, A\). Доказательство. Покажем, что \(\text{Rg}\, A^T \geq \text{Rg}\, A\). Пусть \(\text{Rg}\, A = r\), \(\exists\) минор \(M^{j_1...j_r}_{i_1...i_r} \neq 0\). В матрице \(A\) есть минор \(N^{i_1...i_r}_{j_1...j_r} \neq 0\), получается из M операцией транспонирования. Минор \(N \neq 0\) по свойствам определителя (\(\det N = \det M^T = \det M \neq 0\)). Тогда по определению \(\text{Rg}\, A^T \geq r = \text{Rg}\, A\). Таким образом: \(\text{Rg}\, A \leq \text{Rg}\, A^T \leq \text{Rg}\,(A^T)^T = \text{Rg}\, A \Rightarrow \text{Rg}\, A^T = \text{Rg}\, A\).
Сформулировать и доказать следствие теоремы о базисном миноре для квадратных матриц (критерий невырожденности).	Утверждение. Рассмотрим квадратную матрицу \(A \in M_n(\mathbb{R})\). Следующие три условия эквивалентны: (1) \(\det A \neq 0\); (2) \(\text{Rg}\, A = n\); (3) все строки A линейно независимы. Доказательство. <br> (1) \(\Rightarrow\) (2): Пусть \(\det A \neq 0 \Rightarrow\) в A есть минор порядка n, он \(\neq 0 \Rightarrow\) по определению \(\text{Rg}\, A = n\). <br> (2) \(\Rightarrow\) (3): Пусть \(\text{Rg}\, A = n \Rightarrow\) все строки базисные \(\Rightarrow\) по первому пункту теоремы о базисном миноре (строки базисного минора л.н.з.) они все л.н.з. <br> (3) \(\Rightarrow\) (1): Пусть строки A л.н.з. Предположим противное: \(\det A = 0 \Rightarrow \text{Rg}\, A < n \Rightarrow\) по второму пункту теоремы о базисном миноре (строки, не входящие в базисный минор, являются линейной комбинацией базисных) по крайней мере одна из строк является линейной комбинацией остальных \(\Rightarrow\) по критерию л.з. все строки л.з. – противоречие.
Сформулировать и доказать теорему о базисном миноре.	Утверждение. 1) Базисные строки (столбцы), соответствующие любому базисному минору M матрицы A – л.н.з. 2) Строки (столбцы) матрицы A, не входящие в M, являются линейной комбинацией базисных строк. Доказательство. 1) Предположим, что они л.з. Тогда по критерию линейной зависимости одна из них является линейной комбинацией остальных \(\Rightarrow M = 0\) – противоречие с определением базисного минора. 2) Без ограничения общности будем считать, что базисный минор M матрицы A расположен в левом верхнем углу. Пусть \(\text{Rg}\, A = r\). Возьмём строку \(a_k, k > r\) и покажем, что \(\exists \omega_1,...,\omega_r : a_k = a_1\omega_1 + \cdots + a_r\omega_r\). Составим определитель \(\Delta = \det\begin{pmatrix}a_{11}&\cdots&a_{1r}&a_{1j}\\ \vdots&&\vdots&\vdots\\ a_{r1}&\cdots&a_{rr}&a_{rj}\\ a_{k1}&\cdots&a_{kr}&a_{kj}\end{pmatrix}\) и покажем, что \(\Delta = 0\) \(\forall j = 1,n\). Если \(j \leq r\), то в \(\Delta\) есть 2 одинаковых столбца и \(\Delta = 0\). Если \(j > r\), то \(\Delta\) является минором порядка \(r+1\) в матрице ранга r, т.е. \(\Delta = 0\). Разложим \(\Delta\) по последнему столбцу: \(a_{1j}A_1 + \cdots + a_{rj}A_r + a_{kj}A_k = 0\), где \(A_k\) – базисный минор \(\neq 0\). Откуда: \(a_{kj} = -\frac{A_1}{A_k}a_{1j} - \cdots - \frac{A_r}{A_k}a_{rj}\), \(j = 1,n\), \(k > r\). Следовательно \(a_k = \omega_1 a_1 + \cdots + \omega_r a_r\).
Сформулировать и доказать теорему о ранге матрицы.	Утверждение (теорема о ранге матрицы). Ранг матрицы равен максимальному числу её линейно независимых строк и равен максимальному числу линейно независимых столбцов. Доказательство. Пусть \(\text{Rg}\, A = r\), а максимальное количество л.н.з. строк \(k\). Покажем, что \(r = k\). 1) Т.к. в A есть r л.н.з. строк (т.к. \(\text{Rg}\, A = r\), это базисные строки по первому пункту теоремы о базисном миноре) \(\Rightarrow k \geq r\) (по определению k). 2) Вычеркнем из A все строки, кроме k л.н.з. Получим матрицу \(A_1\), в которой k строк. При этом \(\text{Rg}\, A_1 = k\) (т.к. если бы \(\text{Rg}\, A_1 < k\), то по второму пункту теоремы о базисном миноре одна из строк была бы линейной комбинацией остальных \(\Rightarrow\) по критерию л.з. они были бы л.з. – противоречие). Базисный минор в \(A_1\) имеет порядок k и является ненулевым минором порядка k в исходной матрице \(\Rightarrow k \leq r = \text{Rg}\, A \Rightarrow k = r\).
